Nom de la gare;Total Voyageurs 2022
Pringy;44336
Prissé-la-Charrière;7587
Quédillac;29225
Rai - Aube;9
Ranspach;18596
Razac-sur-l'Isle;9118
Réaumont - Saint-Cassien;142995
Recquignies;1964
Reignier;140539
Retournac;51748
Riedseltz;8528
Rives;331340
Rixheim;172531
Rœux;23951
Ronchamp;51748
Rosheim;206857
Rosières-aux-Salines;237705
Rosult;64374
Roubaix;137990
Ruelle-sur-Touvre;2
Rungis La Fraternelle;637935
Saillat - Chassenon;5272
Sains-du-Nord;45970
Saint-Amand-Montrond - Orval;59281
Saint-Amarin;56906
Saint-André-de-Corcy;252233
Saint-Antoine-de-Breuilh;7402
Saint-Antoine-du-Rocher;29705
Saint-Avre - La Chambre;75854
Saint-Brice-sur-Vienne;823
Saint-Césaire;21475
Saint-Chéron;534294
Saint-Dalmas de Tende;6077
Saint-Denis;26902902
Saint-Denis-de-Pile;32692
Saint-Denis-des-Murs;3137
Saint-Denis-lès-Martel;21617
Saint-Dié-des-Vosges;471486
Sainte-Colombe;26958
Sainte-Eulalie - Carbon-Blanc;46371
Sainte-Gauburge;1463
Sainte-Léocadie;347
Sainte-Marthe en Provence;50515
Sainte-Maure - Noyant;159393
Saint-Étienne Carnot;120629
Saint-Étienne Le Clapier;56068
Saint-Étienne-du-Rouvray;30672
Saint-Florentin - Vergigny;93329
Saint-Flour - Chaudes-Aigues;24527
Saint-Germain-les-Belles;15148
Saint-Gervais-les-Bains Le Fayet;399003
Saint-Gilles Lycée Haut-Rhin;87369
Saint-Hilaire - Brizambourg;1160
Saint-Jean-de-Verges;8541
Saint-Jodard;11242
Saint-Just-en-Chaussée;499407
Saint-Laurent-en-Grandvaux;24545
Saint-Mammès;303399
Saint-Martory;8440
Saint-Mathurin-sur-Loire;75451
Saint-Médard-sur-Ille;47117
Saint-Michel-sur-Meurthe;2472
Saint-Ouen-l'Aumône;1826988
Saint-Ouen-l'Aumône Quartier de l'Église;611246
Saint-Paul-de-Varax;82581
Saint-Piat;192805
Saint-Pierre-d'Aurillac;12000
Saint-Quentin en Yvelines - Montigny-le-Bretonneux;9601190
Saint-Roch;69003
Saint-Sébastien Pas Enchantés;36316
Saint-Sulpice-Laurière;38867
Saint-Vincent-de-Tyrosse;214619
Saléchan - Siradan;504
Sallaumines;13013
Salomé;10248
Sannois;3857638
Santenay les Bains;6103
Santes;42691
Saône;24300
Sarliève - Cournon;44092
Sathonay - Rillieux;284156
Saulon;16714
Saverdun;154600
Sélestat;2400515
Sennecey-le-Grand;44934
Sérifontaine;4966
Sermaise;108489
Sevran - Livry;4784929
Sisteron;43042
Somain;354955
Strasbourg Roethig;71967
Suresnes Mont Valérien;3503155
Surgères;443664
Taconnaz;5492
Tanus;2934
Tarbes;639135
Teillé;3977
Terrasson-Lavilledieu;36251
Tessonnières;7536
Thann;151899
Thaon;339375
Thésée;3884
Thonon-les-Bains;640419
Thun le Paradis;471681
Tieffenbach - Struth;72219
Tonnerre;144629
Toulouse Matabiau;12869088
Tournan-en-Brie;2096889
Toury;163834
Trélazé;60813
Trilport;990660
Urmatt;141560
Us;99723
Uzerche;73091
Vaas;6697
Valleroy - Moineville;5955
Valmondois;917051
Vaumoise;4241
Vauvert;35887
Vélines;63568
Vendeuvre-sur-Barse;52886
Verrey-sous-Salmaise;25391
Versigny;2219
Vert Galant;6389699
Vertou;93709
Vesoul;238617
Vézelise;6608
Vic - Mireval;50569
Vic-le-Comte;251884
Vienne;1956515
Viévola;171
Villaines-sous-Bois;97742
Villefort;18520
Villefranche-de-Rouergue;70128
Villeherviers;16920
Villeneuve-la-Guyard;173943
Villeneuve-Loubet;423218
Villeneuve-Saint-Georges;14780961
Villereversure;4611
Villiers Montbarbin;53041
Virieu sur Bourbre;26566
Viroflay Rive Gauche;4651553
Vitry-en-Artois;78918
Viviers-du-Lac;13698
Viviez - Decazeville;17339
Voellerdingen;0
Voiron;1524325
Volvic;14953
Vonnas;102171
Vorey;42789
Vougeot - Gilly-lès-Cîteaux;50564
Voujeaucourt;16809
Vraincourt - Viéville;1332
Vrigne-Meuse;5471
Wallers;10863
Wambrechies;19
Watten - Éperlecques;102356
Wihr-au-Val - Soultzbach;43562
Abbeville;841557
Achères Ville;3645213
Agonac;6468
Aimargues;2750
Aime - La Plagne;126465
Aix-les-Bains le Revard;1589138
Amilly Ouerray;27282
Ancenis;1023676
Andrésy;586872
Angers Saint-Laud;6269502
Angoulins sur Mer;14777
Annemasse;1367966
Anvin;7494
Arcachon;1180765
Arengosse;4371
Ars-sur-Moselle;102750
Ascq;17383
Aubie - Saint-Antoine;54573
Aubin;9960
Aubin-Saint-Vaast;1691
Aubusson;806
Aulnay-sous-Bois;22707800
Autun;66454
Auxerre Saint-Gervais;521613
Avenue du Président Kennedy Maison de Radio France;1464648
Avesnelles;4532
Avignonet-Lauragais;25351
Avranches;27965
Ay;49087
Baillargues;419523
Balbigny;85385
Bandol;350366
Barentin;235049
Bar-sur-Aube;85393
Bartenheim;116030
Bas - Monistrol-sur-Loire;106606
Bayeux;546928
Beillant;112
Bellegarde;1500251
Bellenaves;8124
Benfeld;557042
Bergues;164790
Bersac-sur-Rivalier;3437
Besançon Franche-Comté TGV;618834
Bétaille;36
Beuvry lès Béthune;12518
Beynost;244377
Biot;303028
Bischheim;56883
Blanquefort;154755
Blois - Chambord;1749067
Bois-Colombes;5302890
Boisseaux;8167
Bort-les-Orgues;13086
Boucau;10269
Bourbourg;20922
Bourron-Marlotte - Grez;125252
Bourth;0
Bréauté - Beuzeville;674677
Brebières;83023
Bretigny - Norges;16859
Bretteville - Norrey;21815
Brignais;315105
Bruyères;114217
Bruz;214043
Bully - Grenay;121994
Buzy en Béarn;11705
Cadaujac;52220
Cambrai;666320
Campagne-sur-Aude;1
Cannes La Bocca;156151
Carignan;16414
Carmaux;118263
Carnoët - Locarn;4753
Carnoules;103978
Carry-le-Rouet;80178
Casino Lacroix Laval;20337
Cassel;115188
Cassis;332671
Castillon-la-Bataille;183626
Castres;158104
Caulnes;73308
Ceintrey;2568
Cergy le Haut;7096311
Chabris;30059
Chalais;31156
Challans;208494
Châlons-en-Champagne;811432
Chamelet;13668
Champagné;17740
Champagne-sur-Oise;344537
Champigny sur Yonne;98611
Champlan;0
Champs - Saint-Bris;2551
Chantonnay;16772
Charmes;360594
Chars;200713
Château-du-Loir;141544
Château-Gaillard;7509
Château-l'Évêque;2326
Châteauneuf-sur-Charente;48173
Châteauroux;733059
Chedde;24235
Chézy-sur-Marne;113397
Chilly-Mazarin;848244
Chinon;174059
Clichy - Levallois;11232100
Collonges-lès-Premières;43636
Colmar Mésanges;3007
Colroy - Lubine;0
Compiègne;2341622
Connerré - Beillé;98889
Corbeil-Essonnes;8129611
Corcieux Vanémont;2735
Cordes - Vindrac;13406
Coulanges-sur-Yonne;4474
Coursan;3789
Courthézon;33392
Courville-sur-Eure;478799
Cravant - Bazarnes;15063
Creil;5224702
Crépy-en-Valois;1613556
Crissé;1033
Cuers - Pierrefeu;105189
Cugand;39228
Culmont - Chalindrey;73190
Damiatte - Saint-Paul;26717
Dannemarie - Velesmes;40026
Dannes - Camiers;11836
Dercy - Froidmont;8642
Deville;32295
Dieulouard;113680
Dijon Porte Neuve;106372
Dinan;92068
Dives-sur-Mer - Cabourg;26502
Docelles - Cheniménil;10443
Dombasle-sur-Meurthe;291082
Domblans - Voiteur;33201
Domfront-en-Champagne;6928
Domont;2515498
Dompierre-sur-Helpe;1695
Donchery;41728
Donzère;30544
Dourdan La Forêt;344253
Dourges;209548
Dreuil-lès-Amiens;4898
Ebersheim;19355
Ébersviller;111
École-Valentin;8658
Écommoy;74026
Écouché;734
Écouen - Ézanville;1737430
Einvaux;4821
Émerainville - Pontault-Combault;3975775
Ennevelin;3183
Épinay-sur-Orge;2236797
Épinay-sur-Seine;5747660
Épluches;75481
Erdre-Active;43072
Espéraza;975
Estressin;114242
Étalans;60802
Étigny - Véron;7022
Étriché - Châteauneuf;38051
Évry-Courcouronnes;9299239
Èze;195128
Faubourg d'Orléans;89561
Faulquemont;190244
Fegersheim - Lipsheim;125454
Feuquières - Broquiers;32339
Feurs;172283
Flavy-le-Martel;15008
Flers;144527
Flez-Cuzy - Tannay;2766
Fontaines - Mercurey;52096
Fontaines-d'Ozillac;0
Fontenoy-sur-Moselle;2520
Font-Romeu-Odeillo-Via;65103
Forbach;330425
Fouday;11309
Freistroff;2073
Fréjus;179522
Frontignan;432281
Gaillon - Aubevoye;550836
Gambsheim;207706
Gan;5149
Gardonne;38203
Gare routière de La-Voulte-sur-Rhône;1406
Gargan;5708651
Gevrey-Chambertin;102990
Gièvres;72650
Golfech;161
Graffenwald;84897
Gramat;20641
Grand Bourg;249760
Grenoble;7993812
Grésy-sur-Aix;92911
Grésy-sur-Isère;12966
Gretz-Armainvilliers;832033
Grigny Centre;6155100
Groisy - Thorens - La Caille;101768
Gudmont;1469
Guichen - Bourg-des-Comptes;191540
Gundershoffen;106807
Harfleur Halte;4022
Hargarten-aux-Mines - Falck;3896
Hargicourt - Pierrepont;18689
Haybes;33619
Heilles - Mouchy;5848
Hellemmes;1231
Hermes - Berthecourt;120555
Hettange-Grande;497593
Hirson Écoles;36572
Hochfelden;250777
Hoelschloch;24275
Hombourg-Budange;483
Houilles - Carrières-sur-Seine;15852935
Houlgate;14635
Huriel;34
Illiers-Combray;301838
Isles - Armentières - Congis;85504
Iwuy;5768
Jarrie - Vizille;18757
Jarville-la-Malgrange;47559
Joigny-sur-Meuse;11957
Juziers;361367
Kédange;4150
Kruth;25710
La Barre Ormesson;2886266
La Bassée - Violaines;277429
La Bernerie-en-Retz;46940
La Bohalle;24044
La Brigue;4102
La Chapelle - Aulnay;28376
La Ferté-Imbault;16548
La Ferté-Saint-Aubin;216954
La Ferté-sous-Jouarre;1443454
La Fontaine;3857
La Grave d'Ambarès;29282
La Mothe-Saint-Héray;3675
La Poterie;54075
La Rochefoucauld;2
La Roche-Maurice;18632
La Roche-sur-Foron;547357
L'Abbaye;939766
Laboissière - Le Déluge;47951
Lagny - Thorigny;3156126
Laigné - Saint-Gervais;23092
Lalande Église;0
Lalbenque - Fontanes;31861
Landévant;66157
Laneuveville-devant-Nancy;8149
Langeais;290764
Lannemezan;109660
Lannion;299750
Laqueuille;14290
Laragne-Montéglin;18312
Laroche - Migennes;655530
Laroquebrou;3741
Le Bras de Fer;2426400
Le Bruel;23
Le Bugue;10534
Le Cailar;8480
Le Cellier;61429
Le Chambon-Feugerolles;30742
Le Dramont;18042
Le Haut Banc;1359
Le Havre;1875316
Le Lioran;11384
Le Luc - Le Cannet;51849
Le Mans;5048028
Le Meux - La Croix-Saint-Ouen;44161
Le Pouliguen;108811
Le Puy-en-Velay;288773
Le Vieux Briollay;18059
Lentilly Charpenay;226783
Lépanges;1992
Les Abrets - Fitilieu;4918
Les Arcs - Draguignan;984891
Les Bons Pères;554
Les Cabannes;10768
Les Cauquillous;15587
Les Échets;163815
Les Flachères;969
Les Longevilles-Rochejean;368
Les Martres-de-Veyre;162477
Les Moutiers-en-Retz;28213
Les Saules;1030114
Lestelle;355
Leucate La Franqui;107549
Leval;2955
L'Herbergement - Les Brouzils;120199
L'Hospitalet-près-l'Andorre;16950
Lille Porte de Douai;34090
Limoges Bénédictins;1805383
Limoux Flassian;8990
Lingolsheim;70732
L'Isle-d'Abeau;294375
Lisle-sur-Tarn;102884
Lizy-sur-Ourcq;307473
Loivre;43778
Longpré-les-Corps-Saints;135919
Louvroil;2460
Ludres;21795
Lunel;754365
Lunery;661
Lunéville;963743
Luxé;30018
Luzarches;482916
Lyon Perrache;7132629
Lyon Saint-Paul;1561710
Machecoul;96863
Mâcon Loché TGV;440823
Magnette;950
Magneux - Courlandon;20269
Maillé;39773
Maizières-lès-Metz;266195
Malause;9
Mantes-la-Jolie;8323186
Marbache;24767
Marignier;164852
Marlieux - Châtillon;132752
Marmagne sous Creusot;53
Marquise - Rinxent;149409
Marsac-sur-l'Isle;128
Marseille Blancarde;663750
Marssac-sur-Tarn;11976
Martigné-Ferchaud;13457
Massérac;6406
Massy - Palaiseau;3755971
Massy - Verrières;272986
Maubeuge;513226
Mauzens-et-Miremont;0
Mazingarbe;1327
Merrey;0
Méry-sur-Oise;687680
Messein;12242
Mesvres;4257
Metzeral;50970
Meung-sur-Loire;395501
Meuse TGV;263062
Mohon;12787
Molinges;1817
Monestier-de-Clermont;19912
Monsempron-Libos;37756
Mont de Terre;185
Montauban-de-Bretagne;278042
Montbartier;80459
Montbéliard;601319
Montceau-les-Mines;99863
Monteux;96193
Montfort-sur-Meu;493201
Montgeron - Crosne;3365599
Montgeroult - Courcelles;24391
Mont-Louis - La Cabanasse;85238
Montluçon;268390
Montmoreau;19020
Montpellier Saint-Roch;7646291
Montrond-les-Bains;104989
Mont-sur-Meurthe;11591
Morvillars;9808
Mothern;5002
Motteville;63184
Mouroux;93212
Moûtiers - Salins - Brides-les-Bains;418763
Moyeuvre-Grande;43655
Muhlbach-sur-Munster;23150
Mulhouse Musées;0
Naintré;32089
Nantes;15512154
Nantiat;18794
Neufchâtel-Hardelot;19104
Nexon;56990
Nice Riquier;2350877
Niversac;11239
Noisy-le-Sec;15647951
Nonant-le-Pin;1
Nortkerque;5755
Nouan-le-Fuzelier;40834
Nouzonville;46478
Noyelles-sur-Mer;110387
Noyen-sur-Sarthe;31682
Nuits-Saint-Georges;272147
Nyer;281
Obermodern-Zutzendorf;226246
Ogeu-les-Bains;11587
Oloron-Sainte-Marie;110312
Onzain - Chaumont-sur-Loire;232704
Orléans;4420737
Ostricourt;183609
Oullins;190323
Pantin;8207191
Pau;1234139
Paulhaguet;2160
Pernes - Camblain;14043
Perpignan;1809687
Perrignier;85299
Pessac;1039275
Pibrac;98791
Plaisir - Grignon;2336338
Plaisir - Les Clayes;795995
Plancoët;13965
Pléchâtel;41764
Plouaret Trégor;159840
Plouigneau;3043
Pointe de Grave;1700
Polliat;6999
Pompadour;1790
Pompey;83327
Pont de Lignon;1260
Pont-à-Mousson;1067490
Pontanevaux;39660
Pontgouin;41047
Pont-l'Évêque;123946
Pontmort;17410
Pontoise;7676107
Pont-Saint-Esprit;7241
Porchefontaine;723565
Pornichet;180508
Port-Sainte-Marie;66274
Port-Saint-Père - Saint-Mars;53306
Pouzauges;1857
Praye sous Vaudémont;153
Précy-sur-Oise;75302
Prin-Deyrançon;5100
Prunay;7299
Pruniers-en-Sologne;8571
Quillan;35958
Quimper;1483787
Rabastens - Coufouleux;199016
Ranchot;53452
Raon-l'Étape;119015
Reuilly;33387
Rilly-la-Montagne;92751
Ris-Orangis;1133508
Roissy-en-Brie;2879867
Romilly-sur-Seine;352333
Romorantin-Lanthenay;0
Ronchin;60809
Rosières;139903
Rosny-sous-Bois;5361506
Rosporden;234588
Rothau;158758
Rouessé-Vassé;2160
Rue;164345
Ruffec;80719
Saincaize-Meauce;2865
Saint-Agne;1053068
Saint-Amand-les-Eaux;722381
Saint-André-le-Gaz;185230
Saint-Béron - La Bridoire;12472
Saint-Bonnet-de-Rochefort;5514
Saint-Chamond;682864
Saint-Égrève Saint-Robert;76528
Sainte-Marguerite;4
Saint-Étienne Bellevue;127259
Saint-Étienne Châteaucreux;3685091
Saint-Étienne-de-Montluc;134310
Saint-Geniès-de-Malgoirès;82971
Saint-Georges-de-Luzençon;707
Saint-Georges-de-Reneins;74388
Saint-Germain-des-Fossés;154050
Saint-Germain-sur-Ille;70433
Saint-Hilaire-de-Riez;65412
Saint-Jean-de-Maurienne Arvan;299869
Saint-Jory;241185
Saint-Laurent-de-la-Prée - Fouras;39829
Saint-Léger-sur-Dheune;15354
Saint-Marcel;33614
Saint-Marcellin;569062
Saint-Martin du Touch;10826
Saint-Maurice-de-Beynost;208733
Saint-Michel Notre-Dame;22763184
Saint-Michel-sur-Orge;2863633
Saint-Omer;886185
Saint-Pierre-le-Moûtier;17490
Saint-Rambert-d'Albon;338699
Saint-Raphaël;1358265
Saint-Saturnin-lès-Avignon;28764
Saint-Sébastien;4818
Saint-Senoux - Pléchâtel;17992
Saint-Sever;0
Saint-Victor-l'Abbaye;12871
Saint-Victurnien;7943
Saint-Vit;176102
Sanry-sur-Nied;8579
Santeuil - Le Perchay;35168
Sarcelles - Saint-Brice;5440971
Sarreguemines;457024
Saumur;815965
Sauveterre-la-Lémance;1446
Savigny-le-Temple - Nandy;3489606
Selles-sur-Cher;31557
Seltz;49668
Sept-Saulx;20435
Sérézin-du-Rhône;263234
Serqueux;79619
Serres;11638
Servon-sur-Vilaine;164831
Servoz;13058
Sète;1295199
Seugy;60917
Sèvres Rive Gauche;1725455
Sotteville-lès-Rouen;10827
Soulac-sur-Mer;60670
Stade de France Saint-Denis;7844102
Staffelfelden;65893
Stephansfeld;29958
Strazeele;55301
Tarascon;209311
Tergnier;507490
Thann Centre;44853
Thionville;3324941
Thuès les Bains;478
Tillières-sur-Avre;0
Torpes - Boussières;3799
Toulon Sainte-Musse;0
Tournon;266
Tournus;411023
Tours;6248554
Trappes;3413529
Triel-sur-Seine;771326
Trois Chênes;18236
Trouville - Deauville;879946
Uckange;686225
Val d'Argenteuil;6287678
Val de Fontenay;16450965
Valdahon;210288
Valergues - Lansargues;18922
Varennes-sur-Allier;103066
Varilhes;54551
Vendôme;105704
Verdun;181819
Verneuil-sur-Avre;162904
Vernon - Giverny;2026943
Vierzon;1119849
Vierzy;555
Vieux-Thann;154416
Vif;41839
Villeneuve Triage;1092378
Villeparisis - Mitry-le-Neuf;3855727
Villepinte;2192462
Villepreux - Les Clayes;1665949
Villers-les-Pots;2416
Villers-sur-Mer;6722
Vimy;20615
Vitré;976658
Vitrolles Aéroport Marseille Provence;548809
Vivoin - Beaumont;41499
Walbach;2522
Wissembourg;250964
Wittring;1927
Ygos-Saint-Saturnin;38618
Yutz;2021
Zillisheim;24942
