Nom de la gare;Total Voyageurs 2022
Mazamet;68204
Menars;544
Mérens-les-Vals;6957
Mériel;401661
Méroux;50340
Messac - Guipry;329671
Metz Nord;48453
Meurchin;46325
Meursault;16073
Meximieux - Pérouges;715335
Mézériat;46871
Milhac-d'Auberoche;0
Milhaud;3616
Moirans;797125
Mommenheim;258153
Monnaie;48872
Montaignac-Saint-Hippolyte;1908
Montbard;378406
Montbizot;30758
Montbrison;143348
Montigny - Beauchamp;4595524
Montigny-sur-Loing;177306
Montlaur;3565
Montluel;509152
Montmorillon;42964
Montpellier Sud de France;1660814
Montrabé;45468
Montreuil sur Mer;41868
Montreux-Vieux;72246
Montville;144073
Moosch;42549
Morcenx;233950
Moulins sur Allier;763246
Mulhouse;5056324
Mulhouse Dornach;186927
Mullerhof;7531
Munster;228245
Namps - Quevauvillers;1381
Nançois - Tronville;1191
Nanterre Université;8029557
Négrondes;7557
Neuves-Maisons;34792
Neuvy-Pailloux;18570
Nevers Le Banlay;84156
Nézel - Aulnay;68248
Nîmes Pont du Gard;745834
Niolon;65602
Noisy-le-Roi;0
Novillars;6281
Noyon;591874
Nuits sous Ravières;43191
Oderen;23064
Oissel;388748
Orangis Bois de l'Épine;2087412
Orgerus - Béhoust;184840
Osny;493755
Osséja;800
Ossès - Saint-Martin-d'Arrossa;5840
Oyonnax;125454
Pagny-le-Château;12001
Paris Austerlitz;19515861
Paris Saint-Lazare;102910589
Peille;17444
Penhoët;64777
Petit-Croix;25955
Peyrilhac - Saint-Jouvent;1191
Picon Busserine;14851
Pierre-Buffière;19554
Pierrefitte - Stains;10628690
Pierrelatte;265859
Pins-Justaret;128776
Plerguer;1728
Plougonver;6494
Pommevic;0
Pont Cardinet;7490334
Pont de Briques;2047
Pont de Dore;49245
Pont de Rungis Aéroport d'Orly;565341
Pont du Garigliano - Hôpital Européen Georges Pompidou;2199909
Pont Petit;235584
Pontarlier;257295
Pont-à-Vendin;95291
Pont-de-l'Arche;8398
Pont-de-Veyle;53491
Pont-du-Casse;0
Pontgibaud;1
Pont-Saint-Vincent;48496
Pornic;207613
Port-de-Bouc;38498
Portets;123754
Prades - Molitg-les-Bains;20067
Prouvy - Thiant;2278
Puget-Ville;23967
Puyoô;60356
Quesnoy-le-Montant;0
Quimperlé;409857
Rambouillet;3874743
Reignac-sur-Indre;14273
Rezé Pont Rousseau;183745
Ribeauvillé;80
Ribécourt;128703
Rivarennes;27365
Rive-de-Gier;680366
Rivesaltes;129029
Roanne;944259
Rodez;265408
Rognac;223205
Rombas - Clouange;58928
Roppenheim;17120
Roquebrune-Cap-Martin;112595
Roquesérière - Buzet;468
Rosny Bois Perrier;5348239
Rosny-sur-Seine;416761
Rouen Rive Droite;6977129
Rougemont Chanteloup;1642841
Rountzenheim;40769
Route de Launaguet;183
Rully;37542
Russ Hersbach;83263
Saint-André-de-Cubzac;620862
Saint-Armel;9486
Saint-Astier;180909
Saint-Aubin - Saint-Luperce;23878
Saint-Aulaire;5077
Saint-Ay;26166
Saint-Blaise-la-Roche Poutay;55525
Saint-Brieuc;1610864
Saint-Claude;34580
Saint-Cloud;8275307
Saint-Cyprien;14472
Saint-Cyr Les Lecques - La Cadière;366619
Saint-Cyr-en-Val La Source;75227
Saint-Cyr-l'École;3907455
Sainte-Cécile-d'Andorge;1493
Sainte-Foy-la-Grande;212685
Saint-Émilion;121804
Saint-Fargeau;99778
Saint-Fons;79274
Saint-Georges-d'Aurac;12809
Saint-Geours-de-Maremne;8147
Saint-Germain - Saint-Rémy;0
Saint-Germain-au-Mont-d'Or;461731
Saint-Germain-en-Laye Bel-Air - Fourqueux;0
Saint-Germain-en-Laye Grande Ceinture;0
Saint-Gildas-des-Bois;32703
Saint-Hilaire - Saint-Nazaire;92489
Saint-Hilaire-de-Chaléons;26154
Saint-Hilaire-sur-Helpe;21
Saint-Jean-de-Losne;65862
Saint-Laurent-d'Aigouze;2259
Saint-Léonard;266
Saint-Léonard-de-Noblat;36609
Saint-Loubès;134418
Saint-Médard-d'Eyrans;82136
Saint-Nabord;10246
Saint-Nazaire;1128848
Saint-Omer-en-Chaussée;8454
Saint-Patrice;21129
Saint-Pé-de-Bigorre;93
Saint-Pierre-des-Corps;3784800
Saint-Pierre-la-Cour;38897
Saint-Pol-sur-Ternoise;145944
Saint-Quentin;1207993
Saint-Romain-de-Popey;18455
Saint-Rome-de-Cernon;3345
Saint-Saviol;37650
Saint-Sulpice - Izon;118208
Saint-Sulpice (Tarn);576379
Saint-Victor - Thizy;27710
Saint-Yrieix-la-Perche;26703
Salbris;289499
Salon-de-Provence;258190
Sarralbe;2754
Sarrance;1571
Sarrebourg;744777
Sausset-les-Pins;69814
Savonnières;2399
Savy-Berlette;23412
Sceaux - Boëssé;7451
Schirmeck - La Broque;355544
Schopperten;19397
Schwindratzheim;79794
Sens;1255039
Séon Saint-Henri;0
Serdinya;418
Serquigny;31539
Sèvres - Ville-d'Avray;2602668
Sierck-les-Bains;4111
Simandre-sur-Suran;11488
Simiane;150351
Sin-le-Noble;27058
Siorac-en-Périgord;15901
Solliès-Pont;100993
Souillac;136290
Souppes - Château-Landon;563770
Steinbourg;21947
Sucé-sur-Erdre;165475
Suèvres;219
Survilliers - Fosses;1745412
Sury-le-Comtal;28997
Tagolsheim;0
Taillebourg;0
Taverny;1535829
Templeuve;593652
Thenissey;3923
Théoule-sur-Mer;19850
Thiviers;115906
Thourotte;47726
Torfou-Tiffauges;0
Touët-de-l'Escarène;3462
Toulon;4439452
Trémolat;4335
Tulle;157594
Tullins Fures;398404
Turckheim;41049
Turenne;791
Urçay - La Perche;885
Urt;6270
Val-de-Vesle;21301
Valdieu;0
Valenciennes;2875726
Vallorcine;23648
Vandières;11202
Vannes;2019329
Varangéville - Saint-Nicolas;348189
Vaucresson;1723886
Vauxaillon;7747
Vaux-sous-Aubigny;0
Vayrac;118
Veauche - Saint-Galmier;72299
Veigné;9969
Véretz - Montlouis;45202
Vermenton;9893
Verneuil-sur-Serre;6503
Verneuil-sur-Vienne;0
Vernouillet - Verneuil;2641905
Verzeille;679
Viaduc Sainte-Marie;1186
Vias;12291
Vieilleville;2430
Vierzon Forges;3307
Villabé;169143
Villars-les-Dombes;454412
Villefranche-de-Lauragais;263590
Villefranche-du-Périgord;324
Villefranche-sur-Saône;2450701
Villenave-d'Ornon;12404
Villeneuve-le-Roi;1302024
Villeneuve-sur-Yonne;69430
Villeperdue;68668
Villers sur Thère;0
Vinay;179020
Vinça;6137
Vincelles;4959
Vire;92269
Viroflay Rive Droite;2426142
Viry-Châtillon;2061155
Vosves;30173
Voyenne;7538
Walbourg;38124
Waligator Parc;8555
Wambaix;170
Wavrin;69296
Willer-sur-Thur;30849
Wilwisheim;49664
Wimille - Wimereux;37020
Yffiniac;29106
Zetting;11963
Achiet-le-Grand;80648
Aéroport Charles de Gaulle 1;6584031
Aéroport Charles de Gaulle 2 TGV;12949183
Agen;1540511
Aiguebelette-le-Lac;4046
Aiguebelle;73947
Aigues-Mortes;11325
Aix-en-Provence;603811
Alaï;48664
Albertville;323762
Albi;531922
Allassac;23681
Allenc;409
Altkirch;292711
Ambazac;35478
Amifontaine;15468
Andilly;0
Anizy - Pinon;97130
Annecy;2817701
Anor;18987
Antibes;2593610
Argentière;16320
Arras;3920113
Aspres-sur-Buëch;3469
Aubigné-Racan;15606
Aubigny-en-Artois;21509
Auboué;2001
Augy Vaux;0
Aulnat Aéroport;10248
Aurec-sur-Loire;69604
Aurillac;133725
Auvers-sur-Oise;103170
Avenue Henri Martin;668376
Avignon Centre;2775924
Ax-les-Thermes;87663
Bagnac-sur-Célé;2867
Bailleul;1050990
Bailleul-Sir-Berthoult;647
Bains-les-Bains;3181
Ballancourt-sur-Essonne;400923
Ballersdorf;0
Baraqueville Carcenac Peyralès;13212
Baroncourt;20257
Base Aérienne;2079
Batz-sur-Mer;26382
Baule;23367
Béard;1688
Beaucaire;47307
Beaumont-le-Roger;12724
Beaune;1034289
Beaurainville;22374
Beauvoisin;15736
Bédarrides;17713
Bellac;33299
Belle-Isle - Bégard;2405
Belleville;26977
Bellevue;1094825
Belvezet;535
Belz - Ploemel;3106
Besançon Mouillère;63088
Beslé;38875
Beuvrages;1989
Beynes;158901
Bidos;5185
Billy-Montigny;175848
Blainville - Damelevières;275526
Blangy-sur-Ternoise;1373
Blanzy;21359
Blonville-sur-Mer - Benerville;2498
Bohain-en-Vermandois;142030
Boissise-le-Roi;106713
Bollène La Croisière;176950
Bordeaux Saint-Jean;21353889
Bouchain;25412
Boucoiran-et-Nozières;6650
Bougival;788442
Boulogne Tintelleries;267068
Boulouris sur Mer;33544
Bouray;1219351
Bourg-Saint-Maurice;433350
Bournezeau;2252
Boussens;232802
Boves;16122
Brest;2370384
Breteil;85747
Brétigny-sur-Orge;5496901
Breuillet - Bruyères-le-Châtel;425888
Brignoud;310975
Bruges;27131
Brunoy;4246577
Buno - Gironville;50110
Byans-sur-Doubs;8622
Caffiers;2566
Cambo-les-Bains;32692
Carentan;205544
Caudéran Mérignac;51415
Caussade;155774
Cavignac;72739
Cazères;205782
Cerbère;71860
Cergy Préfecture;12677261
Cerizay;1081
Cernay (Haut-Rhin);421687
Cesson-Sévigné;166593
Chambly;681255
Chamborigaud;6915
